"ProlificID","Duration (in seconds)","Gender","FirstGen","FirstGen_US","1st_immigrant","1st_age","2nd_immigrant","HighestDegree","Major","Minor","STEMMajor","GPA","M_Approach","M_Avoidance","P_Approach","P_Avoidance","Approach","Avoidance","Math_ID","Reading_ID","Racial_ID","Gender_ID"
"6597691b6cf046f7396fcef4",178,"Man","Yes","No","No",NA,"Yes","Bachelor","Philosophy","Computer Science","STEM",3.13,5,5,2,1.667,3.5,3.333,4.5,4.833,1.667,2.667
"667b4877702c70222418d02a",189,"Woman","Yes","Yes","No",NA,"Yes","HS/GED","Biomedical Engineering","Computer Science","STEM",4.73,3.333,2.667,2.667,2,3,2.333,4,4,3,3
"665747ab06294778387cd708",168,"Man","No","Yes","Yes",0,NA,"HS/GED","Computer Science","none","STEM",4,3,2.667,4,4.333,3.5,3.5,2.833,2,3,4
"66834121446f0105aa25f52f",214,"Man","No","Yes","Yes",4,NA,"Master","Applied Math, Data Science","Comptuer Science","STEM",4,3.667,2,4,4,3.833,3,3.667,3,4,4
"668ffdcf805124c37c719cd7",187,"Woman","Yes","Yes","Yes",1,NA,"Associate","Nursing","N/A","STEM",3.8,4.667,4.333,4.667,4.333,4.667,4.333,2.167,4.5,1.667,4.333
"667202328ae5a13b88528a04",208,"Man","Yes","Yes","Yes",5,NA,"Bachelor","Health Science","None","STEM",3.7,4.667,3.667,5,4.667,4.833,4.167,3.5,4.333,5,5
"669536b088be12c14d73550d",326,"Man","No","Yes","Yes",2,NA,"HS/GED","CIT","N/A","STEM",3.35,3,2.667,2.333,1.333,2.667,2,3.667,4,1.333,1
"668061765e0b5cf3645db29a",227,"Woman","Yes","Yes","No",NA,"Yes","HS/GED","B.S Biology","Chemistry","STEM",3.41,3.333,2.667,3.333,5,3.333,3.833,3.5,4.167,4.333,4.667
"655ffefb7419ddfad7b18637",241,"Woman","Yes","Yes","Yes",14,NA,"Bachelor","Nursing","none","Not STEM",3.6,4,3.333,4,3.667,4,3.5,3.5,3.833,4,4
"628e3b1df14fee48e3b118b8",178,"Man","No","No","No",NA,"Yes","HS/GED","Computer Science","Computer Science","STEM",3.6,4.667,4.667,5,4.667,4.833,4.667,3.667,3.833,5,4.333
